Customer,RSC,ADO,EXT REF,Status,Description,RSC Expiry,"Value / Cost","Logged/Raised","Last Update",
Rand Merchant Bank,0220,,,Approved,RSC220 - Counterparty Settlement Instructions to use Direction,,"£10,510",06-Apr-21,06-Apr-21,
Zenith,0048,,,Ref Product,RSC048 - Short Sell & Buy Backs of Bonds,,"£31,530",20-May-20,20-May-20,
Zenith,0045,,,Rejected,RSC045 - Amortised Cost of a Bond,,£0.00,25-Aug-20,25-Aug-20,
Zenith,0052,,,Delivered,RSC052 - Limited Siena Trader Licence,,£0.00,25-Aug-20,25-Aug-20,
Zenith,0053,,,Rejected,RSC053 - User Profiles/Groups,,£0.00,25-Aug-20,25-Aug-20,
N26,0006,,,Delivered,Adding Call Money Deals to Treasury Risk Report,,"£9,509.45",06-May-21,06-May-21,
Bank of Ireland,0657,,,With Client,RSC657 - Encryption in the FX Pay application,,"£53,379.00",07-Jul-21,07-Jul-21,
BDB London,0090,,,Writing,Transaction Replayer Cross Release  (covered in upgrade to 5.47),,£0.00,01-Jan-21,01-Jan-21,
Rand Merchant Bank,0221,,,With Mgt,Report for deal amendments and cancellations,28-Sep-2021,"£4,230.95",27-Aug-21,27-Aug-21,
Rand Merchant Bank,0222,,,Writing,Reason Information for Close-outs captured from Siena,28-Sep-2021,"£12,549.66",27-Aug-21,27-Aug-21,
BACB,0046,,,Approved,RHUB FIX Message Resubmission Tool,22-Sep-2021,"£3,809.88",08-Sep-21,08-Sep-21,
N26,0007,,,Delivered,Counterparty Group Treasury Report,,"£3,544.43",31-Aug-21,31-Aug-21,
BDB London,0089,,,With Client,CDI Index Rate,29-Sep-2021,"£14,544.38",11-Sep-21,14-Sep-21,
BDB London,0088,,,Delivered,Copp Clark Date Loader - London,,£970.92,11-Aug-21,17-Aug-21,
BACB,0045,,,Approved,Migration of Libor Deal Stock to Daily Reference,30-Aug-2021,"£14,287.05",30-Jul-21,30-Jul-21,
Product Backlog,1000,,,On-Hold,NDF's in eTrader,,£0.00,25-Nov-21,25-Nov-21,
Product Backlog,1001,,,On-Hold,"Siena eTrader ""Express"" MVP Deployment",,£0.00,25-Nov-21,25-Nov-21,
Luminor,1002,,,Writing,Future Prices,30-Nov-2021,"£3,337.20",,00-Jan-00,
Bank of Ireland,1003,,,Approved,Out of Hours Support for Production Release,28-Dec-2021,£645.40,08-Dec-21,08-Dec-21,
Luminor,1004,2778,,Pre-RSC,Costs and Charges Report,20-Dec-2021,"£103,870.35",04-Jan-22,04-Jan-22,
Bank of Ireland,1005,,,Writing,Post Penetration Test Medium & Low Issue Resolution,,"£165,474.90",04-Jan-22,04-Jan-22,
BACB,1006,2216,,With Product,Automate siena windows services,,£793.73,,00-Jan-00,
Luminor,1007,3096,,Approved,Central Clearing ,01-Dec-2022,"£130,150.80",12-Jan-22,12-Jan-22,
N26,1008,3216,,Writing,Treasury Report - Current Balance Amortisation,14-Jan-2022,"£3,457.98",17-Jan-22,17-Jan-22,
Luminor,1009,1562,,Approved,SSI in Siena PROD,,"£15,017.40",19-Nov-21,19-Nov-21,
Rand Merchant Bank,1010,3547,,Writing,Closeout Deal Export,,£0.00,27-Jan-22,27-Jan-22,
Rand Merchant Bank,1011,3579,,With Ops,FXAll Auto Pricing,,£0.00,27-Jan-22,27-Jan-22,
Product Backlog,1012,4112,,With Ops,FX P & L Handling for the Sub-GL,,£0.00,28/01/22,00-Jan-00,
Product Backlog,1013,4113,,With Ops,Squared FX Position Balance Transfers to Retained Earnings,,£0.00,28/01/22,00-Jan-00,
Luminor,1014,4655,,Live,VM Suppression ,,£0.00,,00-Jan-00,
Bank of Ireland,1015,5365,,Writing,FXPay - FraudNet Integration,,£0.00,,00-Jan-00,
Rand Merchant Bank,1016,3500,,Writing,Deal Amendment Report Changes,,£0.00,,00-Jan-00,
N26,1017,6375,,With Mgt,MIFIR Reporting Configuration ,,£0.00,,00-Jan-00,
Luminor,1018,6527,,Writing,Data Anonmyization ,,£0.00,,00-Jan-00,
BDB New York,1019,6445,,Writing,"Implementation support(Transaction Replayer)

",,£0.00,18-May-22,18-May-22,
N26,1020,7445,,Writing,Misc fields in the Deal Enrichment Window,,£0.00,,00-Jan-00,
Bank of Ireland,1021,7608,,Pre-RSC,FXPay - ARIC Integration,,£0.00,,00-Jan-00,
BDB New York,1022,,,With Mgt,Relational Gateway Implementation,,£0.00,,01-Jan-00,
Product Roadmap,1023,8485,RMP/T/2201,With Ops,Build Component Version Upgrade,,,25-May-22,22-Jun-22,
Product Roadmap,1024,8489,RMP/T/2202,With Ops,Migration/Deprecation of Dojo,,,25-May-22,22-Jun-22,
Product Roadmap,1025,8504,RMP/T/2203,With Ops,Testing Automation - Toolset,,,25-May-22,22-Jun-22,
Product Roadmap,1026,8510,RMP/T/2204,With Ops,Testing Automation - Coverage,,,25-May-22,22-Jun-22,
Product Roadmap,1027,8508,RMP/T/2205,With Ops,Replacing Multicast,,,25-May-22,22-Jun-22,
Product Roadmap,1028,8487,RMP/B/2201,With Ops,PV01,,,25-May-22,22-Jun-22,
Product Roadmap,1029,8491,RMP/R/2202,Rejected,UMR - Revaluation of notional,,,25-May-22,22-Jun-22,
Product Roadmap,1030,8493,RMP/R/2203,Rejected,UMR - Non Agreement based currencies,,,25-May-22,22-Jun-22,
Product Roadmap,1031,8512,RMP/B/2204,With Product,Transaction Replayer,,,25-May-22,22-Jun-22,
Product Roadmap,1032,8500,RMP/B/2205,With Product,Payments - Workflow Corrections,,,25-May-22,22-Jun-22,
Cynergy,1033,7738,,Writing,TFSME,,£0.00,28-Jun-22,28-Jun-22,
Cynergy,1050,,,With Client,Sandbox,,£0.00,18-Nov-22,18-Nov-22,
Cynergy,1051,,,With Client,Implementation Rebaseline ,,£0.00,21-Nov-22,21-Nov-22,
N26,1036,8255,,Writing,Book Quote,,£0.00,08-Jul-22,15-Jul-22,
N26,1037,8253,,Writing,Credit Rating,,£0.00,08-Jul-22,15-Jul-22,
N26,1038,8715,,Pre-RSC,SIENA and Regulatory Reporting,,£0.00,08-Jul-22,03-Aug-22,
Bank of Ireland,1039,10104,,With Client,FX Pay Fraudnet Integration - Backport,,"£4,000.00",05-Nov-22,05-Oct-22,
BACB,1040,10145,,Writing,Alternative to CIF,,£0.00,01-Jun-22,06-Oct-22,
BACB,1041,,,Pre-RSC,MiFID TCR Audit Report  ,,,,,
Rand Merchant Bank,1042,10455,,Pre-RSC,AutoDeal & Cover Implementation,,£0.00,19-Oct-22,19-Oct-22,
BDB London,1043,10575,,Pre-RSC,Introducing UTI And MIC Changes On Refinitiv FX Venues,,£0.00,25-Oct-22,25-Oct-22,
BDB London,1044,10582,,Pre-RSC,CIF & TOF Replacement,,£0.00,25-Oct-22,25-Oct-22,
Luminor,1045,10136,,Pre-RSC,Asian Swaps,,£0.00,31-Oct-22,31-Oct-22,
Luminor,1046,10416,,Pre-RSC,SWAN Consolidation Project ,,£0.00,31-Oct-22,31-Oct-22,
N26,1047,10954,,Pre-RSC,Google SAML,,£0.00, ,07-Nov-22,
N26,1048,10982,,Pre-RSC,N26 Mifir AWS,,£0.00, ,09-Nov-22,
Rand Merchant Bank,1049,11158,,Approved,Backporting Bloomberg Changes,,£0.00,17-Nov-22,17-Nov-22,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
