translationID,class,message,translation
Q2FyZFRpdGxlfE1lc3NhZ2UgVHJhbnNsYXRpb24gTGlzdA==,CardTitle,Message Translation - List,List Translations of System Messages
Q2FyZFRpdGxlfFNjaGVkdWxlciBMaXN0,CardTitle,Scheduler - List,Scheduled Jobs & Processes
